date,pressure,temp,d_temp,humidity,sunshine,windspeed,precipitation
28/1/2000,1027.4,11,3.4,56,7.9,21,0
29/1/2000,1027.3,13.7,6.2,58,8.8,19,0
30/1/2000,1029.4,12.1,4.4,56,8.3,27,0
31/1/2000,1029.3,9.8,4.9,70,0.2,27,0.4
1/2/2000,1027.8,8.6,6.2,84,1.5,27,7.8
2/2/2000,1025.1,9.8,7.6,85,0,22,2.2
3/2/2000,1022.2,12.9,11.3,90,1,17,1.6
4/2/2000,1020.3,15.4,13.2,86,0.9,13,0.05
5/2/2000,1019.3,16.9,13.4,79,7.5,14,0.05
6/2/2000,1018.2,14.6,9.7,71,9.5,20,0
7/2/2000,1018.3,14.6,8.7,66,8.3,19,0
8/2/2000,1019.9,13.4,6,59,7.4,20,0
9/2/2000,1019.7,14.4,8.6,66,9.3,22,0
10/2/2000,1017.8,15.6,12.4,80,4.6,14,0
11/2/2000,1016.3,17.4,14.2,80,7.1,11,0
12/2/2000,1015.9,16.4,14.4,87,7.7,17,0
13/2/2000,1014.6,17.4,15.2,86,5,14,0
14/2/2000,1015.7,18.2,15.9,86,5.6,11,0
15/2/2000,1020.1,16.5,12.5,76,4.4,18,0
16/2/2000,1019.5,15.8,10.9,72,6.8,23,0
17/2/2000,1019.3,15.5,12.6,82,0,15,0
18/2/2000,1016.2,16.3,14.2,86,0,16,0
19/2/2000,1011.8,17.9,17.6,97,0,8,0.2
20/2/2000,1011.7,18.4,18,97,0,15,1.6
21/2/2000,1015.7,13.4,13.1,97,0,15,5.4
22/2/2000,1014.8,14.2,13.9,98,0,13,7.4
23/2/2000,1015.4,13.7,13.5,98,0,18,5.4
24/2/2000,1018.8,11.5,10.8,96,0,25,2.2
25/2/2000,1021,10.6,8.8,88,0,29,2.6
26/2/2000,1023.1,10.6,5.3,68,0.2,30,0.4
27/2/2000,1022.6,10.5,5.9,71,0,22,0.6
28/2/2000,1022.2,9.7,9.1,95,0,22,5
1/3/2000,1022.6,10.6,9.9,96,0,21,13.4
2/3/2000,1020.5,12.7,12.2,96,0,17,21.2
3/3/2000,1018.8,16.4,14.3,88,2.1,10,0
4/3/2000,1015.7,19.5,16.3,82,8.8,9,0
5/3/2000,1012.9,21,17.3,79,10.1,9,0
6/3/2000,1014.3,17.8,15.8,88,1.4,15,0.05
7/3/2000,1016.3,17.6,14.1,79,6.7,20,0
8/3/2000,1017.8,16.8,13.4,79,4.2,22,0
9/3/2000,1019.1,16.6,12.7,76,5.7,22,0
10/3/2000,1017,16.9,14.1,82,3.5,18,0
